0	0
14	-40.0
25	-33.0
33	-20.0
48	-45.0
58	-25.0
67	-28.0
77	-23.0
86	-15.0
97	-45.0
105	-37.0
113	-32.0
122	-28.0
138	-54.0
147	-41.0
155	-20.0
163	-34.0
172	-38.0
183	-35.0
195	-33.0
206	-34.0
215	-29.0
224	-34.0
233	-38.0
241	-32.0
262	11.0
277	-31.0
284	-31.0
292	-34.0
301	-27.0
317	-49.0
330	-28.0
340	-19.0
348	-22.0
358	-23.0
368	-33.0
381	-29.0
389	-21.0
400	-35.0
411	-30.0
420	-31.0
429	-28.0
437	-26.0
449	-29.0
463	-15.0
472	-25.0
480	-37.0
489	-28.0
498	-26.0
510	-8.0
519	-39.0
528	-24.0
536	-24.0
543	-30.0
554	-18.0
564	-29.0
574	-11.0
590	-37.0
604	-31.0
613	-34.0
623	-42.0
631	-35.0
648	-53.0
658	-32.0
666	-36.0
676	-42.0
685	-28.0
699	-43.0
710	-32.0
721	-24.0
732	-30.0
741	-30.0
750	-30.0
759	-37.0
775	-40.0
787	-23.0
795	-22.0
809	11.0
820	-44.0
827	-20.0
836	-28.0
847	-47.0
859	-31.0
871	-32.0
883	-30.0
892	-28.0
902	-23.0
915	-25.0
924	-31.0
933	-26.0
941	-30.0
952	-28.0
961	-27.0
971	-30.0
981	-33.0
993	-40.0
1005	-20.0
1018	-42.0
1027	-25.0
1035	-30.0
1052	-34.0
1064	-35.0
1072	-23.0
1079	-27.0
1089	-18.0
1097	-24.0
1106	-13.0
1115	-38.0
1124	-32.0
1136	-28.0
1147	-27.0
1158	-47.0
1169	-18.0
1182	-47.0
1191	-28.0
1206	-23.0
1216	-27.0
1225	-39.0
1235	-27.0
1244	-19.0
1253	-31.0
1261	-24.0
1270	-25.0
1283	-41.0
1292	-31.0
1299	-27.0
1308	-30.0
1316	-33.0
1328	-17.0
1336	-23.0
1344	-37.0
1356	-40.0
1363	-26.0
1376	-21.0
1386	-21.0
1394	-33.0
1412	-3.0
1420	-13.0
1430	-30.0
1438	-20.0
1456	10.0
1464	-34.0
1472	-36.0
1480	-33.0
1488	-14.0
1498	-21.0
1505	-31.0
1515	-31.0
1524	-27.0
1536	-22.0
1544	-20.0
1552	-15.0
1560	-32.0
1582	30.0
1591	-14.0
1605	-27.0
1615	-28.0
1632	-50.0
1640	-31.0
1650	-30.0
1657	-27.0
1666	-35.0
1678	-17.0
1686	-33.0
1695	-29.0
1706	-26.0
1718	-13.0
1730	-28.0
1743	-23.0
1750	-26.0
1759	-23.0
1770	-46.0
1782	-17.0
1792	-23.0
1800	-25.0
1809	-25.0
1818	-25.0
1828	-17.0
1837	-33.0
1846	-37.0
1857	-37.0
1869	-34.0
1881	-32.0
1890	-40.0
1905	-34.0
1912	-27.0
1920	-21.0
1932	-8.0
1941	-26.0
1951	-34.0
1960	-37.0
1970	-42.0
1978	-22.0
1988	-32.0
1996	-34.0
2004	-29.0
2013	-16.0
2020	-26.0
2030	-30.0
2038	-32.0
2047	-35.0
2058	-27.0
2066	-32.0
2074	-13.0
2082	-23.0
2090	-16.0
2098	-14.0
2109	-8.0
2117	-29.0
2125	-34.0
2139	-20.0
2150	-23.0
2159	-28.0
2170	-27.0
2180	-42.0
2197	23.0
2208	-39.0
2217	-29.0
2239	-15.0
2248	-25.0
2257	-27.0
2265	-34.0
2276	-24.0
2285	-28.0
2296	-17.0
2306	-32.0
2318	-13.0
2325	-30.0
2335	-35.0
2344	-29.0
2356	-28.0
2365	-41.0
2373	-34.0
2382	-25.0
2390	-34.0
2398	-23.0
2408	-30.0
2417	-35.0
2428	-18.0
2441	-53.0
2449	-32.0
2459	-32.0
2470	-23.0
2481	-36.0
2490	2.0
2501	-43.0
2509	-22.0
2522	-43.0
2530	-34.0
2537	-22.0
2551	-36.0
2560	-24.0
2569	-30.0
2579	-32.0
2591	-26.0
2598	-28.0
2609	-27.0
2619	-33.0
2627	-35.0
2636	-29.0
2645	-34.0
2652	-28.0
2660	-31.0
2676	21.0
2686	-35.0
2693	-25.0
2702	-39.0
2712	-30.0
2721	-36.0
2730	-27.0
2739	-25.0
2750	-23.0
2760	-32.0
2768	-23.0
2777	-35.0
2786	-27.0
2795	-32.0
2802	-28.0
2811	-24.0
2824	-29.0
2835	-42.0
2844	-27.0
2854	-31.0
2862	-22.0
2871	-29.0
2880	-29.0
2898	34.0
2907	-25.0
2916	-28.0
2925	-28.0
2934	-21.0
2941	-31.0
2950	-27.0
2959	-28.0
2967	-22.0
2981	-41.0
2990	-29.0
3001	-36.0
3009	-24.0
3023	-21.0
3032	-26.0
3041	-37.0
3054	-38.0
3069	-45.0
3079	-10.0
3088	-32.0
3096	-34.0
3112	28.0
3122	-34.0
3133	-35.0
3143	-32.0
3151	-16.0
3160	-8.0
3171	-32.0
3185	-38.0
3193	-32.0
3203	-35.0
3217	-45.0
3224	-27.0
3232	-23.0
3244	-18.0
3255	-37.0
3268	-40.0
3278	-34.0
3287	-27.0
3296	-29.0
3304	-34.0
3313	-36.0
3321	-31.0
3328	-22.0
3336	-33.0
3344	-34.0
3351	-27.0
3359	-34.0
3379	-54.0
3388	-38.0
3398	-38.0
3407	-25.0
3414	-11.0
3424	-41.0
3431	-31.0
3440	-29.0
3447	-17.0
3457	-41.0
3466	-33.0
3477	-23.0
3488	-25.0
3509	-9.0
3517	-24.0
3533	22.0
3541	-23.0
3550	-40.0
3558	-35.0
3571	-33.0
3581	-11.0
3590	-26.0
3604	-28.0
3613	-9.0
3621	-29.0
3628	-27.0
3640	-19.0
3650	-33.0
3658	-22.0
3666	-22.0
3674	-34.0
3682	-23.0
3696	-27.0
3708	-30.0
3720	-49.0
3730	-26.0
3743	-45.0
3753	-24.0
3762	-28.0
3771	-36.0
3789	-38.0
3798	-15.0
3807	-36.0
3814	-26.0
3823	-27.0
3835	-25.0
3843	-32.0
3851	-34.0
3859	-34.0
3868	-27.0
3879	-38.0
3889	-32.0
3898	-35.0
3907	-15.0
3916	-26.0
3924	-22.0
3935	-47.0
3944	-35.0
3955	-44.0
3965	-27.0
3974	-37.0
3982	-36.0
3992	-40.0
4000	-24.0
4012	-260.0
4021	-33.0
4031	-13.0
4040	-27.0
4049	-28.0
4056	-26.0
4064	-33.0
4077	-26.0
4088	-30.0
4101	-25.0
4110	-27.0
4124	-28.0
4133	-34.0
